Berg,Hoehe,Bergfussumfang,Schwierigkeit,Wandhoehe,Erstbesteigung
Matterhorn,4477,24,3,1200,1865
Mt. Logan,5959,92,3.75,2500,1925
Gasherbrum I,8068,36.5,4.25,2500,1958
Dhaulagiri,8167,46,3.75,4200,1960
Monte Rosa - Dufourspitze,4634,52,3.25,2400,1855
Mt. Everest,8850,30,4.25,3300,1953
Nanga Parbat,8125,86.75,6,4500,1953
Kilimanscharo-Kibo,5895,310,1.75,800,1889
Aconcagua,6959,60,1.75,3000,1897
Carstensz-Pyramide,4884,89,4,780,1962
Montblanc,4807,60,1.25,1500,1786
Mt. Elbert,4402,35,1,0,1874
Annapurna,8091,59,4,3200,1950
Finsteraarhorn,4274,21,2.25,1000,1812
Mt. Vinson,4892,74,5,2000,1966
K2,8611,31,5,3100,1954
Denali,6194,94,3.25,2000,1910
Elbrus,5642,90,2,1000,1874
Aoraki,3764,50,3,2000,1894
Nevado Huascaran,6768,58.5,4,1200,1932
Fitz Roy,3406,40,7.25,1300,1952
Kangchendzoenga,8586,64,5,3100,1955
Shishapangma,8046,53.5,3.25,3300,1964
Chimbarozo,6272,92,3,1000,1880
Eiger,3970,25,2.75,1800,1858
Ojes del Salado,6893,62,2,0,1937
Makalu,8463,63,3.25,3100,1955
Citlaltepetl,5747,95,2,700,1848
Aratat,5165,160,1.75,700,1829
Ras Daschan Terara,4620,175,1.25,400,1935
Ama Dablam,6828,26.5,5,1650,1961
Pik Pobeda,7439,83,5,3300,1938